layer,component,fstat_spearman,survivors_gained,survivors_lost,survivors_both,n_features
5,attn,0.9993,2,2,2506,2560
5,gate,0.9974,64,87,3176,10240
5,heads,0.9988,12,15,3621,4096
5,k,0.9992,3,2,870,1024
5,mlp,0.9975,68,51,2269,10240
5,q,0.9992,14,11,3491,4096
5,up,0.9992,22,24,9398,10240
5,v,0.9992,6,4,931,1024
30,attn,0.9897,21,9,2460,2560
30,gate,0.9567,470,221,8445,10240
30,heads,0.9882,56,18,1678,2048
30,mlp,0.8894,773,535,6730,10240
30,q,0.8995,189,60,1490,2048
30,up,0.9591,356,160,9064,10240
